Longitud,Latitud,Frecuencia,Amplitud,MSK,Lugar,Rhf,Rhf_max,Rhf_pond
-72.41,-35.34,2.41713,5.969,9.0,Constitucion,35.762183392489746,108.09154287075445,113.34337850044254
-71.48,-34.44,0.56676,3.953,8.0,Peralillo,49.89996791204625,54.94864620776414,69.14445058130849
-71.66,-34.6,1.78367,4.469,8.0,Pumanque,44.78794120625939,44.787941249541674,63.26741258192697
-71.98,-34.99,1.30024,8.431,8.0,Licanten,55.07601694425057,63.1211319795512,78.67392557123134
-72.02,-35.08,1.53362,3.939,8.0,Curepto,60.90886931623846,71.28472928241331,85.37010012018467
-71.66,-35.43,3.59,3.52,8.0,Talca,93.25688179554166,102.38750663944326,118.06516350395205
-72.32,-35.96,2.80054,6.782,8.0,Cauquenes,92.15881718917343,163.84571459554874,171.04170074308652
-71.82,-36.15,1.61,3.27,8.0,Parral,129.75084199464212,177.24992816491178,188.21105276806747
-71.82,-33.95,1.55029,5.383,7.5,Navidad,39.08764798458384,83.92401897384639,83.59954157909581
-70.96,-34.23,4.127,4.23,7.5,Donihue (*),65.19122169872091,97.41192562611798,105.41292664891536
-70.94,-34.27,2.39,2.73,7.5,Coinco,66.46412549944954,97.1026549401115,105.8578771532715
-71.1,-34.3,2.6338,2.941,7.5,Coltauco (*),60.55539411850143,84.18063267112429,93.66147103948748
-71.53,-34.31,3.00058,5.636,7.5,Esperanza,49.08594434908439,59.08871669523976,69.25873777448584
-71.28,-34.36,2.98391,7.357,7.5,Pichidegua,56.72188822788919,69.50994706721552,80.80930711063894
-71.55,-34.44,2.30044,4.899,7.5,Poblacion,47.65915253400347,51.79744814682243,66.15290108375282
-71.36,-34.64,0.36672,4.383,7.5,SantaCruz,57.02441817964159,59.06755420290991,77.18829979810991
-71.28,-34.73,0.41673,2.651,7.5,Chepica,64.59059564420589,65.73220386721655,84.44545229797099
-71.65,-34.8,4.28417,2.632,7.5,Lolol,50.2212175208359,50.221217564722274,70.65564749033052
-71.23,-34.98,0.52,3.8,7.5,Curico,79.62103899994707,79.62103939617984,99.13843033822901
-71.99,-35.24,5.73446,2.439,7.5,Gualleco,61.990214810801504,84.75613017701298,98.01741398290984
-71.98,-35.32,7.63484,3.795,7.5,Batuco,64.02470501832892,92.1497847576375,104.94747260009648
-73.03,-36.82,0.70012,9.321,7.5,Concepcion,185.883814034777,273.6751335622479,278.3418251955085
-73.1,-36.84,0.66678,10.27,7.5,SanPedrodelaPaz,189.43105117543584,278.2851361436696,282.7198626416835
-71.84,-33.9,0.79,4.17,7.0,LaBoca,41.87364146744742,88.7916366446156,87.67555653162952
-71.87,-33.96,0.25003,7.494,7.0,Matanzas,39.12215773587937,83.20258173556915,82.93125891682068
-71.73,-34.12,0.16,2.0,7.0,Litueche,35.97540980205498,68.6849848976376,72.32667275376477
-70.66,-34.19,3.01,2.57,7.0,Machali,82.0871267391125,122.05896050030516,129.63003646303676
-71.66,-34.21,3.68405,4.706,7.0,LaEstrella,39.536752229681895,62.276640245296704,68.87763304001734
-71.4,-34.3,3.1006,4.434,7.0,LasPataguas,53.882464827702094,65.57190276964303,75.40457306879777
-71.17,-34.38,1.75033,2.099,7.0,Peumo,60.227693410339846,76.05984092314775,87.52715536216948
-70.86,-34.41,4.11747,2.877,7.0,Rengo,73.75862006092191,98.67681237889182,109.84435087067544
-71.08,-34.44,0.49,4.08,7.0,SanVicenteTagua-tagua,66.00340398463,80.7863882396288,93.24897842493547
-71.16,-34.87,2.49,1.97,7.0,Teno,78.55292863188582,78.57198120130897,97.4501233082184
-71.31,-34.93,1.25023,2.723,7.0,Rauco,72.06622077208579,72.06622109638673,91.96457162932057
-71.81,-34.98,2.86722,3.601,7.0,Hualane,57.84229801864384,60.15812079544642,78.46322060137867
-71.28,-35.11,0.25003,2.212,7.0,Molina,85.46012576339778,85.46012606870306,104.83580674629079
-71.27,-35.28,3.54,4.33,7.0,Cumpeo,99.37951452693636,99.37951479741999,117.84822899958318
-71.81,-35.34,2.9339,4.572,7.0,Pencahue,78.40132988215765,92.63672149948778,107.58279828413569
-71.58,-35.55,2.13,4.36,7.0,Bobadilla,104.1031887732666,115.54954246579919,130.91389704768838
-72.27,-35.59,2.90056,3.654,7.0,Empedrado,59.243981948226846,125.46236590681791,132.93621839287366
-72.52,-35.73,1.91703,2.981,7.0,Chanco,65.18699235037923,147.85166394794254,152.67227236902787
-71.77,-36.03,0.38339,3.277,7.0,Retiro,121.9583527509475,164.37564536902997,175.9870960530396
-72.78,-36.13,6.80134,3.892,7.0,Cobquecura,107.94349118391958,196.4355105926372,200.6017742661206
-72.55,-36.28,2.91723,5.004,7.0,Quirihue,122.95784350915173,203.0273472135598,209.0038171533924
-72.4,-36.39,2.57,3.13,7.0,Ninhue,136.01228694307002,210.3477720162787,217.4035367368069
-71.96,-36.42,0.34,1.63,7.0,SanCarlos,149.69353169339396,206.94679757873925,216.62684255011402
-72.95,-36.62,2.68385,2.439,7.0,Tome,162.97787463859714,250.85038563192612,255.4342908324723
-72.29,-36.74,1.12,3.67,7.0,Bulnes,175.2688013076428,245.32832679451917,253.19101037031868
-73.0,-36.74,2.6005,3.156,7.0,Penco,176.74540611241733,264.61033557902863,269.23708840911877
-72.47,-36.74,1.4336,6.03,7.0,Quillon,173.4211932335696,248.7911269000521,255.79374699860827
-72.66,-36.82,2.30044,4.668,7.0,Florida,181.87782718472548,261.85441510716424,268.0724988728966
-73.16,-37.09,3.17,5.14,7.0,Lota,217.39313200540195,305.3865265664947,310.0722263160169
-71.17,-33.65,2.75053,3.979,6.5,Pomaire,83.39278932284797,127.76166306160772,126.80806285029446
-70.93,-33.67,1.8167,2.0,6.5,Talagante,88.78857735981568,137.5583915238708,137.94596957266901
-70.98,-33.68,2.61,1.62,6.5,ElMonte,86.36683176958459,134.07146344077182,134.30440480743675
-71.21,-33.69,5.69,2.96,6.5,Melipilla,79.30277983671871,122.43785922584185,121.62227959902422
-71.73,-33.94,0.88349,4.862,6.5,Rapel,40.054654733884476,85.1034036240647,84.87984995319233
-70.74,-34.16,4.00078,1.501,6.5,Rancagua,77.08499007745101,117.16389433057905,124.20589343611499
-71.61,-34.4,0.90016,4.391,6.5,Marchigue,47.208451955542664,51.359088829673574,64.46440972287891
-70.99,-34.58,0.11667,1.509,6.5,SanFernando,76.46395224605406,85.83680779852676,100.40305233597574
-71.89,-34.66,9.51855,5.16,6.5,Paredones,37.58028463711622,44.19782224892685,61.436816375472546
-71.22,-34.67,3.73406,4.101,6.5,Nancagua,65.81945865243374,68.77184534057054,86.2961540424435
-71.45,-35.38,8.00158,3.204,6.5,Pelarco,101.73569217350214,101.73569228816773,119.11941110838615
-71.48,-35.55,0.16668,1.912,6.5,SanClemente,112.26971852172748,117.47706015482507,133.44692274149858
-71.74,-35.6,0.17,1.61,6.5,SanJavier,93.86994542517073,119.07637273269219,132.82603013503953
-71.74,-35.67,8.53502,4.565,6.5,VillaAlegre,97.7545021467639,126.34390027676348,139.68174682996653
-71.59,-35.85,0.35005,2.612,6.5,Linares,119.71445155144846,146.42023391946154,159.94429286269371
-71.68,-35.97,0.38339,3.874,6.5,Longavi,122.43343429157068,158.3126885097193,170.73763666054106
-72.7,-36.49,2.86722,7.247,6.5,Coelemu,145.97123308816896,229.0687514292267,234.58304081870554
-72.19,-36.5,6.44,8.99,6.5,SanNicolas,151.38189792986793,218.01507622003734,226.35109277726426
-72.1,-36.61,0.21,3.13,6.5,Chillan,165.08274974256847,228.72378362124093,237.52754679595546
-72.6,-36.64,5.73446,3.814,6.5,Nipas,162.07436871801931,241.50161163081796,247.76546593084802
-72.4,-37.03,1.1002,7.921,6.5,Cabrero,205.65969655450988,278.3456288462304,285.84314168435964
-73.28,-37.26,0.46674,5.052,6.5,Arauco,238.17179153466984,326.77648866240827,331.35515736478374
-72.35,-37.47,8.83508,2.509,6.5,LosAngeles,254.34541024961206,325.13059735357643,332.9599699122861
-72.7,-37.8,3.38399,9.355,6.5,Angol,289.9336515892659,366.70237875393804,373.6111961587786
-70.67,-34.04,0.46674,1.951,6.0,Codegua,83.36738133626048,128.51437265882436,134.0273595287604
-70.82,-34.28,1.35025,1.624,6.0,Requinoa,72.74118310432083,105.89233081622938,114.78978846940251
-71.31,-34.29,6.58463,5.444,6.0,LasCabras,54.30171426129693,71.07311730216496,80.54496557246951
-71.05,-34.7,0.13,1.613,6.0,Chimbarongo,78.00321632941196,81.8016856594321,98.44960668028465
-71.12,-34.96,0.059,1.43,6.0,Romeral,85.49847737717852,85.4984779028339,104.41648661382537
-71.57,-35.75,0.33338,3.256,6.0,YerbasBuenas,114.89482229219445,136.22771311344323,150.3959327575488
-72.67,-36.43,0.86682,5.296,6.0,Trehuaco,139.29954338293734,222.01956838166814,227.57847099566965
-72.03,-36.8,0.35005,2.017,6.0,SanIgnacio,186.81037340363778,248.71245153150804,257.7818698179871
-72.23,-36.96,1.70032,4.396,6.0,GeneralCruz,199.9691197605421,268.17784327993104,276.3548607917059
-72.08,-36.98,5.30104,1.89,6.0,Pemuco,204.79694542839647,268.7307783760217,277.52628327059784
-72.44,-37.08,1.08353,7.055,6.0,MonteAguila,210.86343858853476,284.4329531701034,291.7962552535296
-72.55,-37.1,1.63364,6.005,6.0,Yumbel,212.62002299601502,288.74709716474985,295.69405054681937
-72.02,-37.12,4.05079,8.433,6.0,Yungay,221.02237867465408,283.5800523501173,292.56797175427647
-72.7,-37.27,3.63404,5.902,6.0,Laja,231.4714912237138,310.16463673814377,316.69734243821756
-73.35,-37.47,2.45047,4.494,6.0,Curanilahue,262.145909854119,350.36709447294464,355.0619105290503
-72.68,-37.5,3.21729,3.913,6.0,Nacimiento,256.76449304333795,334.1705998881897,340.95029658568046
-73.67,-37.6,2.83388,5.578,6.0,Lebu,284.38445528276617,375.48700096737434,379.5105231651752
-73.46,-37.62,2.80054,4.895,6.0,LosAlamos,280.71338941964024,369.40514330204815,374.0107365682036
-73.41,-37.63,2.75053,2.829,6.0,TresPinos,280.5800210163389,368.6161715693076,373.37080002736553
-72.58,-37.67,2.66718,3.272,5.5,Renaico,275.439139020533,350.4438452614576,357.63141773546204
-73.4,-37.8,1.78367,4.4,5.5,Canete,298.5229188427505,385.50653844995816,390.508111274009
-72.83,-37.98,4.06746,1.889,5.5,LosSauces,310.37467725653653,388.6717653471541,395.3353378350159
-73.23,-38.01,3.65071,4.626,5.5,Contulmo,318.041004297568,401.8738531419666,407.53593556990427
-73.08,-38.02,0.11,1.98,5.5,Puren,317.0350258406212,398.83026496327847,404.8785661072112
